WEB_PAGEID,WEBPAGE_TYPE
1,news
2,news
3,news
4,news
5,movies
6,news
7,news
8,movies
9,news
10,news
11,movies
12,news
13,news
14,news
15,news
16,news
17,news
18,news
19,news
20,news
21,news
22,news
23,news
24,news
25,news
26,news
27,news
28,news
29,news
30,news
31,news
32,news
33,news
34,movies
35,news
36,news
37,news
38,movies
39,news
40,news
41,movies
42,news
43,news
44,news
45,news
46,news
47,news
48,news
49,news
50,news
51,news
52,news
53,news
54,news
55,news
56,news
57,news
58,news
59,news
60,news
61,news
62,news
63,news
64,news
65,news
66,news
67,news
68,movies
69,news
70,news
71,news
72,news
73,news
74,news
75,news
76,news
77,news
78,news
79,news
80,movies
81,news
82,news
83,news
84,movies
85,news
86,news
87,news
88,news
89,news
90,news
91,news
92,news
93,news
94,news
95,movies
96,news
97,news
98,news
99,news
100,news
101,news
102,news
103,news
104,news
105,news
106,news
107,news
108,news
109,news
110,news
111,news
112,news
113,news
114,news
115,news
116,news
117,news
118,news
119,news
120,news
121,news
122,movies
123,news
124,news
125,news
126,news
127,news
128,news
129,news
130,news
131,news
132,news
133,news
134,news
135,movies
136,news
137,news
138,news
139,news
140,news
141,news
142,news
143,news
144,news
145,news
146,movies
147,news
148,news
149,news
150,news
151,news
152,news
153,news
154,movies
155,news
156,news
157,news
158,movies
159,news
160,news
161,news
162,news
163,news
164,news
165,movies
166,news
167,news
168,movies
169,movies
170,news
171,news
172,news
173,news
174,news
175,news
176,news
177,news
178,news
179,news
180,news
181,news
182,news
183,news
184,news
185,news
186,news
187,movies
188,news
189,news
190,news
191,news
192,news
193,news
194,news
195,movies
196,news
197,news
198,news
199,news
200,news
